t=2026-01-16T11:19:47-0500 lvl=info msg="no configuration paths supplied"
t=2026-01-16T11:19:47-0500 lvl=info msg="using configuration at default config path" path="/Users/familiaperdomobocachica2/Library/Application Support/ngrok/ngrok.yml"
t=2026-01-16T11:19:47-0500 lvl=info msg="open config file" path="/Users/familiaperdomobocachica2/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-01-16T11:29:19-0500 lvl=info msg="join connections" obj=join id=13c4f6829ef8 l=[::1]:5173 r=186.102.27.68:3133
t=2026-01-16T11:29:19-0500 lvl=info msg="join connections" obj=join id=77c039ee2d28 l=[::1]:5173 r=186.102.27.68:3133
t=2026-01-16T11:29:19-0500 lvl=info msg="join connections" obj=join id=99890c7b4f19 l=[::1]:5173 r=186.102.27.68:3133
t=2026-01-16T11:29:19-0500 lvl=info msg="join connections" obj=join id=c22a2aff33ba l=[::1]:5173 r=186.102.27.68:3133
t=2026-01-16T11:29:20-0500 lvl=info msg="join connections" obj=join id=40b40c2f7b69 l=[::1]:5173 r=186.102.27.68:3133
t=2026-01-16T11:29:20-0500 lvl=info msg="join connections" obj=join id=176e4d0e139f l=[::1]:5173 r=186.102.27.68:3133
t=2026-01-16T11:29:20-0500 lvl=info msg="join connections" obj=join id=fdbb8a613216 l=[::1]:5173 r=186.102.27.68:3133
t=2026-01-16T11:29:20-0500 lvl=info msg="join connections" obj=join id=ec36e20550ab l=[::1]:5173 r=186.102.27.68:3133
t=2026-01-16T11:29:20-0500 lvl=info msg="join connections" obj=join id=2ce29150019f l=[::1]:5173 r=186.102.27.68:3133
t=2026-01-16T11:29:20-0500 lvl=info msg="join connections" obj=join id=87a273a340c0 l=[::1]:5173 r=186.102.27.68:3133
t=2026-01-16T11:29:20-0500 lvl=info msg="join connections" obj=join id=622c45047065 l=[::1]:5173 r=186.102.27.68:3133
t=2026-01-16T11:29:20-0500 lvl=info msg="join connections" obj=join id=831741ed1292 l=[::1]:5173 r=186.102.27.68:3133
t=2026-01-16T11:29:20-0500 lvl=info msg="join connections" obj=join id=19a87543abe2 l=[::1]:5173 r=186.102.27.68:3134
t=2026-01-16T11:29:35-0500 lvl=info msg="join connections" obj=join id=9b8a4e82a8bf l=[::1]:5173 r=186.102.27.68:3133
t=2026-01-16T11:29:35-0500 lvl=info msg="join connections" obj=join id=231f0342f71d l=[::1]:5173 r=186.102.27.68:3133
t=2026-01-16T11:29:35-0500 lvl=info msg="join connections" obj=join id=9a25a59c3115 l=[::1]:5173 r=186.102.27.68:3133
t=2026-01-16T11:29:35-0500 lvl=info msg="join connections" obj=join id=ade0f0ba2da9 l=[::1]:5173 r=186.102.27.68:3133
t=2026-01-16T11:29:35-0500 lvl=info msg="join connections" obj=join id=edadd42d8c53 l=[::1]:5173 r=186.102.27.68:3133
t=2026-01-16T11:29:42-0500 lvl=info msg="join connections" obj=join id=8c00b8dfac9e l=[::1]:5173 r=186.102.27.68:3133
t=2026-01-16T11:31:12-0500 lvl=info msg="join connections" obj=join id=eaca41c25167 l=[::1]:5173 r=186.102.27.68:3170
t=2026-01-16T11:31:13-0500 lvl=info msg="join connections" obj=join id=a9f2d7dccb8e l=[::1]:5173 r=186.102.27.68:3170
t=2026-01-16T11:31:13-0500 lvl=info msg="join connections" obj=join id=d2b66a824c41 l=[::1]:5173 r=186.102.27.68:3170
t=2026-01-16T11:31:13-0500 lvl=info msg="join connections" obj=join id=7b012bf8769e l=[::1]:5173 r=186.102.27.68:3170
t=2026-01-16T11:31:13-0500 lvl=info msg="join connections" obj=join id=2ec334856552 l=[::1]:5173 r=186.102.27.68:3170
t=2026-01-16T11:31:13-0500 lvl=info msg="join connections" obj=join id=1d60be14eb00 l=[::1]:5173 r=186.102.27.68:3170
t=2026-01-16T11:31:13-0500 lvl=info msg="join connections" obj=join id=20185ee00a18 l=[::1]:5173 r=186.102.27.68:3170
t=2026-01-16T11:31:13-0500 lvl=info msg="join connections" obj=join id=50d16ce13fe0 l=[::1]:5173 r=186.102.27.68:3170
t=2026-01-16T11:31:13-0500 lvl=info msg="join connections" obj=join id=747b6828de18 l=[::1]:5173 r=186.102.27.68:3170
t=2026-01-16T11:31:13-0500 lvl=info msg="join connections" obj=join id=cef07943038e l=[::1]:5173 r=186.102.27.68:3170
t=2026-01-16T11:31:13-0500 lvl=info msg="join connections" obj=join id=924f35e5e5f5 l=[::1]:5173 r=186.102.27.68:3171
t=2026-01-16T11:31:14-0500 lvl=info msg="join connections" obj=join id=7017ca0cc4f6 l=[::1]:5173 r=186.102.27.68:3170
t=2026-01-16T11:31:14-0500 lvl=info msg="join connections" obj=join id=8e0c9e069704 l=[::1]:5173 r=186.102.27.68:3170
t=2026-01-16T11:31:14-0500 lvl=info msg="join connections" obj=join id=86ba172bc428 l=[::1]:5173 r=186.102.27.68:3170
t=2026-01-16T11:31:17-0500 lvl=info msg="join connections" obj=join id=79bf97318a36 l=[::1]:5173 r=186.102.27.68:3170
t=2026-01-16T11:31:17-0500 lvl=info msg="join connections" obj=join id=56142dd3ee01 l=[::1]:5173 r=186.102.27.68:3170
t=2026-01-16T11:31:47-0500 lvl=info msg="join connections" obj=join id=08a0a702cc0a l=[::1]:5173 r=[2a02:26f7:f7c2:e111::1]:64225
t=2026-01-16T11:31:47-0500 lvl=info msg="join connections" obj=join id=c371f1ccbb9f l=[::1]:5173 r=[2a02:26f7:f7c2:e111::1]:64225
t=2026-01-16T11:31:47-0500 lvl=info msg="join connections" obj=join id=b899ef341532 l=[::1]:5173 r=[2a02:26f7:f7c2:e111::1]:64225
t=2026-01-16T11:32:10-0500 lvl=info msg="join connections" obj=join id=4f695b132582 l=[::1]:5173 r=186.102.27.68:3170
t=2026-01-16T11:32:11-0500 lvl=info msg="join connections" obj=join id=53edf1f89168 l=[::1]:5173 r=186.102.27.68:3170
t=2026-01-16T11:32:13-0500 lvl=info msg="join connections" obj=join id=f03a22eca3a6 l=[::1]:5173 r=186.102.27.68:3170
t=2026-01-16T11:32:14-0500 lvl=info msg="join connections" obj=join id=346ebe283ad6 l=[::1]:5173 r=186.102.27.68:3170
t=2026-01-16T11:32:14-0500 lvl=info msg="join connections" obj=join id=a40e5a5d495e l=[::1]:5173 r=186.102.27.68:3170
t=2026-01-16T11:32:15-0500 lvl=info msg="join connections" obj=join id=af87bf36d284 l=[::1]:5173 r=186.102.27.68:3170
t=2026-01-16T11:32:36-0500 lvl=info msg="join connections" obj=join id=4003e2b722ba l=[::1]:5173 r=186.102.27.68:3170
t=2026-01-16T11:32:36-0500 lvl=info msg="join connections" obj=join id=435d24a485d8 l=[::1]:5173 r=186.102.27.68:3170
t=2026-01-16T11:35:20-0500 lvl=info msg="join connections" obj=join id=2846794cc30e l=[::1]:5173 r=[2a02:26f7:f7c0:e111::b]:57692
t=2026-01-16T11:35:21-0500 lvl=info msg="join connections" obj=join id=3f47c99842d0 l=[::1]:5173 r=[2a02:26f7:f7c0:e111::b]:57692
t=2026-01-16T11:35:21-0500 lvl=info msg="join connections" obj=join id=b3e64fe1e47b l=[::1]:5173 r=[2a02:26f7:f7c0:e111::b]:57692
t=2026-01-16T11:35:21-0500 lvl=info msg="join connections" obj=join id=e3b44b87441c l=[::1]:5173 r=[2a02:26f7:f7c0:e111::b]:57692
t=2026-01-16T11:35:21-0500 lvl=info msg="join connections" obj=join id=ba16447792a8 l=[::1]:5173 r=[2a02:26f7:f7c0:e111::b]:57692
t=2026-01-16T11:35:21-0500 lvl=info msg="join connections" obj=join id=42177d049b85 l=[::1]:5173 r=[2a02:26f7:f7c0:e111::b]:57692
t=2026-01-16T11:35:21-0500 lvl=info msg="join connections" obj=join id=13986db46cbd l=[::1]:5173 r=[2a02:26f7:f7c0:e111::b]:57692
t=2026-01-16T11:35:21-0500 lvl=info msg="join connections" obj=join id=32346616a19f l=[::1]:5173 r=[2a02:26f7:f7c0:e111::b]:57692
